Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17
Tracks 1 to 17
46	745.26654	30.534786	 	1108.9703	198.16922	 	800.1943	215.86995	 	1176.887	272.7578	 	638.1338	284.8849	 	1320.2894	384.40378	 	1200.6713	448.8693	 	975.6366	718.4758	 	739.9152	773.0541	 	643.5581	783.64185	 	838.9407	823.4756	 	176.92142	893.5452	 	668.89813	894.8533	 	47.57204	902.2774	 	1264.5851	937.5037	 	527.879	974.54205	 	824.05585	1036.3217	 
47	745.32904	30.770437	 	1108.737	198.31558	 	799.53064	216.821	 	1176.8953	273.25385	 	637.7082	285.17532	 	1319.7672	385.31885	 	1199.9388	449.74097	 	975.45386	719.0147	 	739.3754	773.39667	 	643.504	783.86786	 	838.29443	824.35297	 	177.29361	893.93054	 	668.5373	895.2668	 	47.329845	902.5784	 	1264.5695	937.9021	 	528.17706	975.2144	 	823.3237	1035.9603	 
48	745.7381	30.875822	 	1109.0771	198.58359	 	800.36615	216.616	 	1177.3148	273.06982	 	638.1329	285.01306	 	1320.1438	385.4504	 	1200.3739	449.59863	 	975.8101	718.2742	 	739.8771	773.23627	 	644.24243	783.33466	 	839.0806	824.28296	 	178.04146	893.87836	 	669.3749	895.0725	 	47.70955	902.0275	 	1264.9469	937.64667	 	529.3672	975.1379	 	823.45245	1035.8352	 
49	745.51025	30.907454	 	1109.0074	198.32005	 	800.302	216.80246	 	1177.5732	272.94174	 	637.9875	285.14758	 	1320.4795	385.70935	 	1200.7477	449.46774	 	975.5193	718.56683	 	739.8619	773.68353	 	643.925	783.4862	 	839.16064	824.2921	 	177.61789	894.1433	 	668.7109	894.7069	 	47.256557	902.4667	 	1264.705	937.8187	 	529.0968	975.5415	 	822.45984	1035.9502	 
50	745.33514	30.985144	 	1109.6482	198.91246	 	799.75183	217.17255	 	1177.7096	273.00217	 	637.7284	285.36737	 	1320.3782	385.7028	 	1200.4154	449.9234	 	975.518	718.6641	 	739.8088	774.2009	 	643.7813	783.61725	 	839.42206	824.27954	 	177.09843	894.47284	 	668.81024	894.64954	 	46.669666	903.2908	 	1264.6129	937.882	 	529.38293	975.5657	 	822.39575	1036.5247	 
51	745.7667	30.791838	 	1109.6919	198.33588	 	800.2087	217.43398	 	1177.7178	272.57803	 	638.19226	284.97467	 	1320.8116	385.27597	 	1201.2288	449.54733	 	975.88947	718.5899	 	739.86487	773.8591	 	644.415	783.1092	 	839.6451	824.5918	 	177.28496	894.20795	 	668.9932	894.3854	 	46.381275	902.6007	 	1265.0973	937.6429	 	529.7864	975.4842	 	822.7791	1036.4858	 
52	745.3966	30.85685	 	1109.606	198.32431	 	799.75446	217.35046	 	1177.789	273.28442	 	637.6925	285.25266	 	1319.8829	385.26404	 	1200.5103	449.5926	 	975.6074	719.1582	 	739.4383	774.3483	 	643.6749	783.4066	 	839.425	825.39923	 	176.94531	894.98065	 	668.4348	895.0044	 	46.336872	903.2124	 	1264.327	938.28595	 	529.4143	976.0009	 	821.9893	1036.7706	 
53	745.7962	30.753714	 	1109.8839	197.79404	 	800.49603	217.06815	 	1178.56	272.7546	 	638.1297	285.04266	 	1320.45	384.91315	 	1201.0154	449.58295	 	975.43066	718.9028	 	739.8001	774.1835	 	644.26276	783.10406	 	839.78864	825.2107	 	176.76753	894.4506	 	668.30054	894.41174	 	46.38526	902.7239	 	1264.7621	938.21606	 	530.0494	975.4824	 	822.3564	1036.4053	 
54	745.68365	30.652157	 	1110.2301	197.73059	 	800.1828	217.09482	 	1178.6276	272.7677	 	637.9258	284.96017	 	1319.8761	384.63535	 	1201.3933	449.82886	 	975.5548	719.0252	 	739.8297	774.49817	 	644.1478	782.9191	 	839.8006	824.9534	 	176.80258	894.27435	 	668.161	894.2236	 	46.239758	902.93445	 	1264.4417	938.2192	 	530.24756	975.3403	 	822.3719	1036.5002	 
55	745.57666	30.57955	 	1110.3151	197.92078	 	799.7425	217.30789	 	1179.001	272.39853	 	637.8756	285.0729	 	1319.3232	384.9156	 	1201.5483	450.42825	 	975.63837	719.01086	 	739.95	774.67944	 	644.9109	783.8481	 	839.82855	824.81915	 	176.90848	893.9814	 	667.6716	894.6384	 	46.342384	903.08795	 	1264.3195	938.50494	 	530.2836	976.45276	 	822.29504	1036.9626	 
